cycle_number,formation_start,trading_start,trading_end,pair_asset1,pair_asset2,beta1,beta2,copula,copula_aic,num_trades,cycle_pnl,skipped,skip_reason
1,,,,,,,,,,0,0.0,True,no_cointegrated_pair
2,,,,,,,,,,0,0.0,True,no_cointegrated_pair
